term,estimate,std_error,statistic,p_value
(Intercept),-218510.16748105353,32832.02953330756,-6.655396287926048,8.566535381477951e-11
year,109.28022407670967,16.35235744300908,6.6828421808641965,7.230500097702552e-11
origin_enBosnia and Herzegovina,-342.5830710401152,789.2271347194768,-0.43407411627057535,0.6644508250415
origin_enCroatia,-630.73458619163,789.2271347194765,-0.7991800565952649,0.42462417429386445
origin_enFrance,3843.2058823529624,783.2732023557271,4.906596920198928,1.3141994235759828e-6
origin_enGermany,8800.558823529433,783.2732023557271,11.235618424148026,7.047718253107445e-26
origin_enItaly,1794.500000000023,783.2732023557273,2.291026929815789,0.022441436214952197
origin_enKosovo,-7.311148336562549,1013.020450065124,-0.007217177438118389,0.9942448994183186
origin_enMontenegro,-1875.5111483365636,1013.0204500651239,-1.8514050217011837,0.06479196328074169
origin_enNetherlands,-481.38235294115407,783.2732023557272,-0.6145778401372297,0.5391563528023835
origin_enNorth Macedonia,379.4936729821363,795.585766932333,0.4769990725769399,0.6336034297506912
origin_enPortugal,3398.6764705882583,783.2732023557273,4.339068999637157,1.7826171483572657e-5
origin_enSerbia,-1600.9778150032291,1013.0204500651236,-1.580400291919386,0.11474540051660319
origin_enSpain,-1037.2647058823302,783.273202355727,-1.3242693644602077,0.18611217881106545
origin_enTurkiye,485.41176470590466,783.2732023557272,0.6197221649432257,0.535766685566869
origin_enUnited Kingdom,9.2352941176691985,783.2732023557272,0.011790642255976154,0.9905980769776399
